order_id,product_id,customer_id,quantity,order_date,total_amount
1,80,10,4,2023-3-20,1003
2,69,30,3,2023-12-11,780
3,61,20,4,2023-4-26,1218
4,62,44,3,2023-8-26,2022
5,78,46,4,2023-8-5,1291
6,57,34,1,2023-9-12,1529
7,10,24,3,2023-2-26,191
8,46,48,4,2023-10-15,2170
9,57,10,4,2023-1-11,1816
10,31,39,1,2023-1-6,170
11,74,16,1,2023-7-6,1987
12,68,17,1,2023-12-20,247
13,21,1,2,2023-6-19,1671
14,31,16,2,2023-12-7,235
15,81,19,2,2023-9-20,2336
16,30,9,1,2023-4-23,780
17,65,33,4,2023-1-9,145
18,38,41,5,2023-12-23,2260
19,45,1,5,2023-7-19,1004
20,61,10,4,2023-2-21,2208
21,40,42,5,2023-10-11,905
22,59,9,1,2023-3-11,835
23,32,32,5,2023-8-1,2488
24,8,29,3,2023-11-15,1023
25,86,12,4,2023-9-21,324
26,99,11,3,2023-10-3,2021
27,68,7,2,2023-12-7,2244
28,80,12,3,2023-3-5,1245
29,10,42,5,2023-10-16,2078
30,95,20,5,2023-11-20,1790
31,85,21,5,2023-6-18,1698
32,12,3,4,2023-11-3,1840
33,8,23,3,2023-11-9,1589
34,5,26,1,2023-1-23,1243
35,26,8,4,2023-6-5,1978
36,62,32,4,2023-6-1,887
37,78,31,4,2023-3-15,1145
38,73,47,1,2023-7-15,1686
39,88,29,1,2023-6-25,1340
40,34,4,3,2023-9-9,187
41,32,46,2,2023-4-22,751
42,36,26,5,2023-5-28,2335
43,14,24,2,2023-6-25,222
44,13,6,3,2023-6-28,2431
45,92,18,1,2023-10-10,1695
46,81,40,3,2023-12-25,2414
47,8,25,4,2023-10-14,2101
48,38,27,3,2023-8-12,1309
49,17,18,2,2023-10-10,208
50,51,36,2,2023-10-2,2326
51,29,4,4,2023-1-28,1444
52,70,14,5,2023-4-11,1703
53,34,8,1,2023-6-3,2290
54,66,32,2,2023-10-23,1718
55,19,21,1,2023-2-6,2489
56,66,33,1,2023-7-24,2210
57,25,39,5,2023-10-20,1510
58,56,3,5,2023-2-17,1542
59,86,9,1,2023-6-22,1132
60,53,48,5,2023-9-4,2152
61,50,15,1,2023-4-18,854
62,56,29,3,2023-4-15,1667
63,28,17,1,2023-9-19,2329
64,84,45,5,2023-10-13,38
65,19,29,2,2023-12-26,981
66,13,44,3,2023-4-16,301
67,63,40,5,2023-5-10,2257
68,33,7,5,2023-5-20,1972
69,37,30,2,2023-9-27,1357
70,71,21,1,2023-3-23,924
71,7,47,4,2023-4-1,658
72,21,31,5,2023-8-28,1863
73,10,17,2,2023-5-3,594
74,31,24,3,2023-11-28,1399
75,69,18,3,2023-1-6,652
76,11,14,5,2023-8-24,169
77,16,40,4,2023-3-7,701
78,79,28,4,2023-12-25,1591
79,20,3,1,2023-11-23,1292
80,7,27,5,2023-6-18,2354
81,2,18,4,2023-8-17,1740
82,47,50,5,2023-11-16,1158
83,54,15,4,2023-10-8,1325
84,40,14,5,2023-4-19,938
85,20,34,4,2023-2-11,1121
86,100,16,5,2023-9-21,18
87,6,44,5,2023-6-23,1100
88,59,31,1,2023-2-18,844
89,47,46,4,2023-8-17,508
90,44,41,4,2023-10-9,200
91,47,42,4,2023-7-28,1007
92,9,12,5,2023-3-21,1991
93,69,37,4,2023-4-6,104
94,34,10,3,2023-10-26,1856
95,40,35,1,2023-11-20,1365
96,4,1,3,2023-8-4,1798
97,9,19,1,2023-10-2,560
98,91,10,5,2023-10-7,359
99,67,4,3,2023-12-18,108
100,46,17,3,2023-3-7,2336
101,78,37,1,2023-2-5,81
102,35,9,4,2023-5-20,992
103,80,50,5,2023-11-3,1810
104,61,46,1,2023-12-3,1733
105,37,34,3,2023-9-19,2226
106,29,45,3,2023-7-4,945
107,38,3,2,2023-7-3,1873
108,11,9,5,2023-1-4,1592
109,83,29,5,2023-5-10,1473
110,65,44,5,2023-6-18,2357
111,78,43,4,2023-6-15,1761
112,67,50,3,2023-2-25,387
113,24,15,1,2023-9-23,429
114,16,37,1,2023-6-7,1474
115,35,47,1,2023-3-10,1291
116,13,17,3,2023-4-14,135
117,80,23,1,2023-3-16,418
118,9,36,3,2023-11-9,1159
119,18,43,4,2023-6-21,1520
120,93,5,1,2023-2-5,1537
121,25,29,3,2023-5-20,862
122,8,17,4,2023-5-1,252
123,21,35,3,2023-8-10,1164
124,39,37,1,2023-9-20,81
125,56,23,3,2023-7-27,1997
126,79,18,4,2023-8-20,700
127,56,18,5,2023-4-6,2428
128,32,4,5,2023-6-11,1730
129,50,50,5,2023-5-19,1704
130,29,26,5,2023-10-1,1762
131,38,47,4,2023-1-22,1574
132,70,13,3,2023-5-21,1685
133,100,21,5,2023-4-4,1373
134,96,18,1,2023-4-15,1281
135,86,29,3,2023-7-24,787
136,30,11,4,2023-4-1,444
137,33,18,1,2023-1-6,1273
138,89,30,4,2023-5-2,2490
139,33,5,4,2023-5-1,1415
140,10,22,5,2023-12-2,1159
141,3,26,1,2023-4-1,208
142,50,20,4,2023-2-21,2117
143,75,26,3,2023-2-25,1509
144,37,32,2,2023-4-6,2406
145,56,33,5,2023-6-3,1474
146,41,18,5,2023-8-15,2109
147,96,25,2,2023-3-3,335
148,78,21,4,2023-8-23,1303
149,35,31,5,2023-2-13,131
150,10,26,1,2023-8-28,187
151,86,22,2,2023-8-2,704
152,12,2,1,2023-3-8,2364
153,97,44,4,2023-12-21,1687
154,73,12,2,2023-1-6,2199
155,9,24,3,2023-5-15,2421
156,8,13,3,2023-7-14,1691
157,1,3,1,2023-10-23,2459
158,100,17,3,2023-4-17,1072
159,83,14,5,2023-11-11,641
160,73,28,5,2023-11-14,553
161,84,20,1,2023-3-16,1169
162,59,46,4,2023-12-5,103
163,15,45,3,2023-1-11,1885
164,92,11,4,2023-8-21,2464
165,80,19,2,2023-11-24,1284
166,60,2,1,2023-9-8,1408
167,99,35,5,2023-5-2,169
168,47,1,4,2023-10-26,1309
169,62,12,3,2023-3-24,1659
170,8,17,5,2023-12-26,1112
171,78,19,3,2023-9-14,2053
172,88,27,5,2023-5-22,1152
173,88,39,5,2023-1-27,1225
174,82,26,2,2023-12-26,2429
175,95,38,3,2023-10-3,1779
176,10,2,3,2023-9-18,2177
177,30,45,5,2023-7-19,1276
178,11,3,4,2023-5-19,1786
179,24,3,5,2023-7-8,1824
180,19,38,5,2023-10-14,148
181,61,21,3,2023-8-25,1356
182,78,49,3,2023-11-14,188
183,68,22,3,2023-8-2,1340
184,95,29,4,2023-7-6,2299
185,26,45,2,2023-2-10,354
186,53,18,4,2023-10-27,2024
187,77,48,1,2023-8-7,1479
188,4,37,3,2023-10-3,24
189,40,22,1,2023-4-10,2460
190,78,28,5,2023-2-16,2110
191,70,47,1,2023-1-2,2472
192,52,35,1,2023-11-3,1901
193,32,16,5,2023-7-27,2064
194,4,19,1,2023-9-22,1187
195,19,41,2,2023-2-14,719
196,12,33,1,2023-2-23,1847
197,68,19,3,2023-7-7,522
198,48,1,4,2023-8-25,232
199,62,37,1,2023-4-24,434
200,95,24,1,2023-4-19,1073
201,55,48,5,2023-4-17,675
202,44,50,5,2023-7-13,2177
203,10,33,2,2023-2-20,401
204,70,42,3,2023-5-26,2257
205,49,45,4,2023-9-4,1006
206,65,13,2,2023-9-19,2103
207,52,4,4,2023-6-14,2228
208,60,40,3,2023-12-28,366
209,1,23,3,2023-7-25,186
210,41,22,3,2023-4-19,1621
211,38,38,1,2023-4-7,971
212,66,37,1,2023-6-19,2272
213,80,8,5,2023-12-10,2158
214,98,45,2,2023-4-19,1585
215,79,36,3,2023-10-26,1713
216,63,43,2,2023-11-1,2154
217,56,50,4,2023-3-9,788
218,30,17,3,2023-3-5,443
219,72,34,3,2023-2-23,152
220,15,15,2,2023-7-8,1380
221,9,39,2,2023-5-6,1518
222,7,25,5,2023-12-6,2258
223,62,49,5,2023-10-3,1197
224,6,33,5,2023-4-20,2278
225,74,35,5,2023-11-24,1668
226,77,14,1,2023-9-19,613
227,64,1,2,2023-4-12,2354
228,9,19,5,2023-10-10,2096
229,4,21,4,2023-3-14,789
230,48,4,3,2023-5-12,2433
231,74,18,5,2023-11-14,206
232,79,12,3,2023-12-21,2299
233,17,36,4,2023-1-17,2012
234,26,42,1,2023-2-3,1960
235,81,22,2,2023-5-10,1127
236,54,41,3,2023-11-4,1995
237,21,25,5,2023-5-25,1164
238,15,42,2,2023-12-16,1927
239,68,32,2,2023-12-14,2248
240,53,40,3,2023-4-14,480
241,11,29,5,2023-1-28,308
242,65,35,4,2023-5-3,2031
243,39,49,3,2023-9-21,331
244,87,2,2,2023-6-24,1040
245,74,2,4,2023-5-20,777
246,89,23,1,2023-3-18,2352
247,17,18,3,2023-1-21,37
248,31,44,5,2023-7-14,222
249,87,12,2,2023-12-27,288
250,92,37,1,2023-5-22,977
251,53,12,2,2023-4-28,1534
252,83,37,4,2023-1-27,1800
253,20,19,1,2023-6-9,696
254,50,49,4,2023-6-27,812
255,23,29,5,2023-5-2,1249
256,81,38,2,2023-2-22,2476
257,2,21,2,2023-7-15,1984
258,80,20,2,2023-3-3,1114
259,11,17,4,2023-5-2,2459
260,46,47,4,2023-2-1,160
261,54,12,5,2023-6-18,809
262,22,18,2,2023-4-8,1047
263,12,33,2,2023-2-8,1724
264,8,48,4,2023-11-1,2337
265,62,23,4,2023-11-11,2118
266,37,1,1,2023-2-28,1799
267,73,15,1,2023-10-4,1487
268,25,19,3,2023-1-20,1498
269,51,42,3,2023-1-2,1623
270,41,36,1,2023-8-13,1947
271,36,29,4,2023-12-27,1410
272,72,5,2,2023-3-26,2045
273,19,50,4,2023-1-17,1341
274,34,48,5,2023-1-28,65
275,92,21,1,2023-8-12,1202
276,18,8,2,2023-5-9,580
277,51,20,2,2023-10-10,1210
278,93,47,2,2023-8-16,1389
279,28,38,3,2023-12-20,2259
280,49,17,2,2023-2-4,1981
281,90,27,3,2023-2-27,1364
282,17,13,4,2023-5-28,2324
283,88,39,3,2023-2-6,680
284,47,17,1,2023-9-26,1091
285,41,19,1,2023-11-3,2122
286,80,45,5,2023-9-2,986
287,84,35,3,2023-11-8,1127
288,15,4,4,2023-4-4,1828
289,73,45,5,2023-2-6,836
290,66,32,1,2023-1-22,1427
291,27,37,4,2023-3-26,1699
292,2,29,2,2023-11-17,1106
293,2,49,3,2023-7-4,1956
294,99,33,4,2023-12-14,2155
295,21,16,5,2023-3-10,735
296,82,44,1,2023-7-7,1430
297,96,50,2,2023-11-15,2000
298,81,18,2,2023-2-21,814
299,89,13,2,2023-9-6,1503
300,12,49,5,2023-4-16,523
301,58,3,4,2023-12-25,1751
302,42,48,5,2023-4-15,1486
303,20,8,5,2023-3-10,263
304,96,45,5,2023-1-12,443
305,40,34,3,2023-10-9,1985
306,43,18,4,2023-11-1,1972
307,72,7,4,2023-9-9,748
308,35,47,5,2023-5-15,1095
309,49,33,4,2023-9-10,343
310,68,44,4,2023-2-5,1267
311,51,30,4,2023-12-25,1583
312,24,47,2,2023-4-1,1164
313,20,21,4,2023-11-6,2419
314,19,27,4,2023-4-27,2129
315,16,27,3,2023-3-26,1061
316,65,47,2,2023-11-22,1085
317,29,25,2,2023-4-10,1980
318,16,49,2,2023-2-28,1349
319,89,14,2,2023-3-18,89
320,83,48,5,2023-2-9,1238
321,81,17,5,2023-2-16,431
322,33,30,4,2023-12-7,2431
323,68,43,4,2023-3-10,988
324,59,37,4,2023-10-1,1181
325,4,43,3,2023-8-3,889
326,2,19,5,2023-3-6,1527
327,64,17,2,2023-2-5,1972
328,25,4,1,2023-7-8,2179
329,73,45,2,2023-4-10,1526
330,61,1,4,2023-7-5,595
331,92,17,4,2023-6-22,1575
332,12,17,3,2023-2-4,1636
333,5,20,2,2023-4-8,1645
334,39,18,1,2023-2-12,2466
335,91,34,4,2023-3-11,1873
336,65,3,5,2023-10-21,1592
337,44,13,5,2023-8-4,1554
338,87,29,4,2023-9-3,1435
339,45,39,2,2023-5-22,1104
340,69,42,3,2023-12-6,2272
341,93,13,5,2023-8-5,1122
342,61,33,5,2023-1-10,341
343,61,45,1,2023-12-10,1585
344,34,17,3,2023-3-9,1026
345,44,48,3,2023-7-7,964
346,76,45,5,2023-9-18,363
347,95,44,5,2023-12-7,1146
348,26,34,1,2023-5-16,885
349,24,47,2,2023-4-3,2093
350,20,39,1,2023-11-8,815
351,75,39,3,2023-6-27,640
352,36,35,3,2023-4-19,222
353,29,42,2,2023-8-26,669
354,22,25,1,2023-2-24,643
355,9,28,4,2023-12-8,146
356,10,30,1,2023-10-4,59
357,97,29,3,2023-1-22,2360
358,72,27,4,2023-1-22,77
359,68,42,3,2023-11-1,2178
360,29,21,5,2023-3-14,606
361,87,50,5,2023-9-24,2172
362,9,29,3,2023-1-25,538
363,49,48,2,2023-6-3,195
364,80,21,3,2023-9-3,1849
365,76,30,3,2023-7-26,1545
366,82,49,1,2023-4-28,1586
367,96,48,3,2023-3-23,2172
368,4,42,3,2023-3-9,2065
369,53,30,3,2023-8-13,789
370,81,28,2,2023-10-21,2345
371,64,5,3,2023-2-22,2306
372,53,50,5,2023-11-10,1463
373,75,37,2,2023-10-28,2099
374,96,1,2,2023-5-10,1517
375,50,50,3,2023-3-6,1882
376,20,42,5,2023-2-28,2066
377,90,31,1,2023-9-23,831
378,62,37,4,2023-3-11,399
379,88,23,1,2023-9-17,2395
380,52,37,1,2023-3-20,1360
381,7,45,1,2023-10-7,744
382,34,46,4,2023-6-10,707
383,29,12,4,2023-2-18,465
384,3,23,5,2023-11-25,581
385,90,2,3,2023-11-12,1064
386,33,34,5,2023-9-26,1712
387,13,16,2,2023-12-3,810
388,86,21,2,2023-10-24,1153
389,10,3,1,2023-3-11,2477
390,3,50,3,2023-2-10,1351
391,33,27,2,2023-12-10,25
392,1,31,3,2023-6-6,1551
393,12,6,1,2023-6-3,1761
394,69,8,5,2023-12-7,381
395,34,36,5,2023-7-17,1652
396,16,4,5,2023-4-9,1181
397,47,39,4,2023-10-6,1280
398,52,11,4,2023-8-11,1156
399,5,5,2,2023-9-28,576
400,59,20,4,2023-5-8,1748
401,91,9,5,2023-10-16,2124
402,66,25,2,2023-3-10,2445
403,60,34,2,2023-8-1,1664
404,2,35,3,2023-9-11,472
405,41,25,3,2023-7-8,2021
406,33,39,1,2023-7-1,2238
407,2,41,3,2023-8-14,1351
408,83,25,4,2023-5-10,2310
409,21,22,2,2023-5-19,1917
410,65,43,2,2023-4-8,1737
411,100,15,1,2023-8-4,283
412,47,3,4,2023-3-17,2433
413,75,7,5,2023-7-14,1476
414,6,37,2,2023-9-27,1901
415,51,43,4,2023-9-9,2208
416,60,42,3,2023-1-8,2343
417,96,28,4,2023-7-21,1961
418,85,13,4,2023-12-26,395
419,51,23,5,2023-6-14,1131
420,77,46,3,2023-1-13,731
421,28,42,4,2023-11-22,1121
422,64,29,3,2023-8-14,801
423,82,29,5,2023-12-28,2079
424,1,49,1,2023-4-18,353
425,3,50,1,2023-11-11,964
426,5,30,4,2023-4-20,2387
427,50,38,4,2023-11-17,1733
428,27,20,3,2023-10-10,2051
429,97,5,3,2023-9-1,1681
430,43,28,1,2023-8-21,2130
431,53,49,3,2023-4-23,453
432,49,7,3,2023-11-25,513
433,25,31,1,2023-3-3,2201
434,29,44,2,2023-4-22,1311
435,20,17,3,2023-10-1,1281
436,85,34,3,2023-3-19,926
437,48,18,4,2023-10-12,1568
438,64,49,2,2023-12-27,935
439,5,27,2,2023-7-21,97
440,4,14,5,2023-2-21,2054
441,50,37,3,2023-12-22,764
442,83,2,5,2023-10-5,813
443,26,33,3,2023-3-12,1004
444,34,26,4,2023-10-10,287
445,51,22,5,2023-7-9,2396
446,51,19,1,2023-11-17,111
447,4,6,5,2023-4-17,2343
448,51,4,1,2023-11-18,215
449,89,17,1,2023-3-27,1437
450,25,50,1,2023-6-8,281
451,10,17,2,2023-3-12,1214
452,24,3,1,2023-4-1,1530
453,47,18,3,2023-3-21,1763
454,74,31,5,2023-11-13,1564
455,56,42,3,2023-2-21,2190
456,66,37,5,2023-11-26,1972
457,85,35,3,2023-8-26,766
458,94,39,5,2023-4-17,2384
459,8,18,1,2023-10-22,1411
460,77,33,5,2023-2-12,2019
461,94,10,5,2023-4-23,261
462,8,30,4,2023-6-6,2120
463,49,29,3,2023-9-13,1106
464,28,39,3,2023-3-10,893
465,50,6,3,2023-5-18,1239
466,74,43,3,2023-3-20,1116
467,10,21,4,2023-4-4,1204
468,38,7,3,2023-6-25,1488
469,96,5,2,2023-9-27,981
470,76,14,2,2023-7-21,1137
471,5,26,1,2023-9-10,798
472,34,17,2,2023-2-1,1999
473,12,26,1,2023-10-28,929
474,49,26,5,2023-12-25,720
475,16,19,1,2023-5-6,603
476,6,4,5,2023-4-7,1085
477,17,34,3,2023-11-6,936
478,56,41,1,2023-12-3,2012
479,47,45,1,2023-10-17,993
480,81,19,5,2023-5-3,1231
481,65,40,1,2023-11-9,467
482,89,8,3,2023-9-1,107
483,40,36,2,2023-5-22,2042
484,85,50,2,2023-2-9,1366
485,26,21,3,2023-3-4,1824
486,54,16,5,2023-10-8,796
487,76,18,3,2023-7-3,2281
488,5,36,3,2023-10-4,1287
489,4,38,3,2023-5-7,57
490,94,9,1,2023-7-11,1768
491,7,4,5,2023-8-8,1037
492,52,34,5,2023-11-10,636
493,84,41,1,2023-2-19,480
494,95,37,3,2023-12-15,1441
495,70,29,5,2023-1-4,858
496,76,5,2,2023-12-12,2372
497,8,38,1,2023-8-26,1809
498,72,25,4,2023-12-24,369
499,93,41,1,2023-7-28,1163
500,66,48,3,2023-4-12,1435
